symbol,geneticConstraint,hasHighQualityChemicalProbes,expressionAtlas
LTV1,-0.373303916161059,,0.0
SUPT6H,-0.9981246552675124,,0.0
PLRG1,-0.6433535576392719,,0.0
NOP16,-0.195477109762824,,0.0
MTMR14,-0.463761720904578,,0.0
PPAN,0.1811362382790955,,0.0
TMEM106B,-0.2653061224489795,,0.0
LRP1,-0.9897407611693326,,0.0
DIMT1,0.2522890237175952,,0.0
HTR2C,0.0,1,0.0147047599291262
PRDX2,-0.1976833976833977,,0.1282813143275777
WDHD1,-0.0790954219525648,,0.0
SLC24A4,-0.1846662989520132,,0.0
PTK2B,-0.6188637617209045,1,0.0
B4GALT2,-0.3066740209597353,,0.0
MT-ND1,0.0,,0.0
RASGEF1C,-0.5483728626585769,,0.0
ELMO2,-0.7031439602868175,,0.0
GBF1,-0.5158301158301158,,0.0
RSL24D1,-0.636734693877551,,0.0
BLOC1S5,0.7537782680639824,,0.0
PTPN12,-0.6742415885273028,,0.0
AP3B1,-0.580584666298952,,0.0
LAMTOR3,0.7619415333701047,,0.021519855747389
DHX15,-0.9785990071704358,,0.0
NECTIN2,-0.4923331494760066,,0.0
SBF1,-0.8132377275234418,,0.0
ATP1A1,-0.9633756205184776,,0.0650117284578785
WRAP53,-0.5109762824048538,,0.0
SNRPD2,-0.7990071704357419,,0.039747221625369
NDUFC1,0.7186982901268615,,0.0
TAOK1,-0.9467181467181468,1,0.0
JAZF1,-0.7539988968560397,,0.0360085525896178
NDUFV1,0.2111417539988969,,0.0677517096781494
SMG8,-0.4012134583563155,,0.0
IPO7,-0.984776613348042,,0.0
NRIP1,-0.7010479867622725,,0.0103648034040994
PTDSS1,-0.3248758963044678,,0.0
NDUFB4,0.2880308880308879,,0.0781690916835703
SKP2,-0.6499724214009928,,0.0
RIPK1,-0.5685603971318257,1,0.0
SQLE,-0.5332597904026475,,0.0334402809988098
RAP2B,-0.1941533370104798,,0.0
IL34,0.5225592939878654,,0.0
ZNF652,-0.716822945394374,,0.0
TRAPPC5,0.7023717595146166,,0.0
GGPS1,0.0858246001103144,,0.0
PDGFRA,-0.9141753998896855,0,0.0
MS4A4E,0.8894649751792609,,0.0
ATP8B4,0.0792057363485934,,0.0
HTR2A,-0.529288472145615,1,0.0491590820044604
CALR,-0.768450082735797,,0.0
BTF3,-0.0743519029233314,,0.0512131894013915
PILRA,0.6258135686707116,,0.0
NISCH,-0.7021511307225593,,0.0
PAPOLA,-0.9478212906784336,,0.0
ABI3,0.2531715388858246,,0.0
NUP160,-0.5749586321014892,,0.0
PRSS8,-0.302592388306674,,0.0
SLC18A2,-0.4647545504688362,,0.0
MTMR12,-0.8019856591285163,,0.0
SNRK,-0.9613899613899614,,0.0257722926649263
RXRG,-0.641257584114727,1,0.0
PVR,0.3032542746828461,,0.0
TFCP2L1,-0.9038058466629896,,0.0
FERMT2,-0.8829564258135687,,0.0274232208613344
TTN,-0.7104247104247104,,0.0
RANBP3,-0.9009376723662438,,0.0
ABCA1,-0.6174296745725317,,0.0
