id_farmaco,num_apariciones,lista_dianas,potencia_media,nombre
CHEMBL2037482,5,['GSK3B'],5.54,Sin nombre
CHEMBL92463,5,['ACHE'],7.581999999999999,Sin nombre
CHEMBL94186,5,['ACHE'],8.14,Sin nombre
CHEMBL93619,5,['ACHE'],8.15,Sin nombre
CHEMBL264322,5,['BACE1'],7.552,Sin nombre
CHEMBL253867,5,['BACE1'],7.2620000000000005,Sin nombre
CHEMBL2152545,5,['ACHE'],5.42,Sin nombre
CHEMBL217068,5,['BACE1'],5.43,Sin nombre
CHEMBL3983988,5,['BACE1'],7.093999999999999,Sin nombre
CHEMBL403233,5,['GSK3B'],4.976000000000001,MANZAMINE A
CHEMBL3261069,5,['BACE1'],8.122,Sin nombre
CHEMBL3261068,5,['BACE1'],7.403999999999999,Sin nombre
CHEMBL3261067,5,['BACE1'],8.180000000000001,Sin nombre
CHEMBL3941301,5,['BACE1'],6.4799999999999995,Sin nombre
CHEMBL5878933,5,['BACE1'],7.726000000000001,Sin nombre
CHEMBL1128,5,['ACHE'],5.776,EDROPHONIUM CHLORIDE
CHEMBL3951608,5,['BACE1'],6.952,Sin nombre
CHEMBL3947194,5,['BACE1'],7.156000000000001,Sin nombre
CHEMBL3922902,5,['BACE1'],7.44,Sin nombre
CHEMBL1923158,5,['BACE1'],6.581999999999999,Sin nombre
CHEMBL3127106,5,['BACE1'],7.9719999999999995,Sin nombre
CHEMBL536047,5,['ACHE'],9.028,Sin nombre
CHEMBL401474,5,['BACE1'],6.965999999999999,Sin nombre
CHEMBL3979124,5,['BACE1'],6.884,Sin nombre
CHEMBL330004,5,['ACHE'],7.3,Sin nombre
CHEMBL3917530,5,['BACE1'],7.470000000000001,Sin nombre
CHEMBL409766,5,['BACE1'],7.287999999999999,Sin nombre
CHEMBL3703253,5,['BACE1'],6.401999999999999,Sin nombre
CHEMBL409752,5,['BACE1'],7.294,Sin nombre
CHEMBL409753,5,['BACE1'],7.5,Sin nombre
CHEMBL3735506,5,['GSK3B'],7.498,Sin nombre
CHEMBL3354688,5,['BACE1'],8.251999999999999,Sin nombre
CHEMBL336961,5,['GSK3B'],7.694,AZAKENPAULLONE
CHEMBL2396989,5,['BACE1'],7.928,LY-2886721
CHEMBL3414707,5,['BACE1'],6.656000000000001,Sin nombre
CHEMBL3414701,5,['BACE1'],6.444,Sin nombre
CHEMBL356385,5,['ACHE'],5.54,Sin nombre
CHEMBL3417009,5,['ACHE'],7.68,Sin nombre
CHEMBL412768,5,['BACE1'],6.9079999999999995,Sin nombre
CHEMBL2181880,5,['BACE1'],7.708,Sin nombre
CHEMBL3670318,5,['BACE1'],7.932,Sin nombre
CHEMBL219601,5,['BACE1'],7.659999999999999,Sin nombre
CHEMBL2347208,5,['BACE1'],7.525999999999999,Sin nombre
CHEMBL420625,5,['ACHE'],7.7,Sin nombre
CHEMBL418955,5,['ACHE'],8.076,Sin nombre
CHEMBL464538,5,['ACHE'],7.566,Sin nombre
CHEMBL3639691,5,['BACE1'],8.056000000000001,Sin nombre
CHEMBL173309,5,['ACHE'],7.76,Sin nombre
CHEMBL433379,5,['ACHE'],8.11,Sin nombre
CHEMBL427719,5,['BACE1'],7.151999999999999,Sin nombre
CHEMBL1678,5,['ACHE'],7.5120000000000005,DONEPEZIL HYDROCHLORIDE
CHEMBL164,5,"['ACHE', 'BACE1']",5.99,MYRICETIN
CHEMBL812,5,['ACHE'],6.044,PYRIDOSTIGMINE BROMIDE
CHEMBL3653701,5,['BACE1'],5.164,Sin nombre
CHEMBL92142,5,['ACHE'],6.659999999999999,Sin nombre
CHEMBL81671,5,['BACE1'],6.808,Sin nombre
CHEMBL93123,5,['ACHE'],8.03,Sin nombre
CHEMBL254485,5,['BACE1'],7.436,Sin nombre
CHEMBL1080901,4,['GSK3B'],9.4825,Sin nombre
CHEMBL92955,4,['ACHE'],7.85,Sin nombre
CHEMBL92775,4,['ACHE'],7.0,Sin nombre
CHEMBL255838,4,['BACE1'],8.25,Sin nombre
CHEMBL255194,4,['BACE1'],7.0649999999999995,Sin nombre
CHEMBL253237,4,['BACE1'],6.135,Sin nombre
CHEMBL257278,4,['BACE1'],7.547499999999999,Sin nombre
CHEMBL6057506,4,['BACE1'],6.905,Sin nombre
CHEMBL61715,4,['ACHE'],7.55,Sin nombre
CHEMBL61533,4,['ACHE'],7.06,Sin nombre
CHEMBL609977,4,['ACHE'],7.9025,Sin nombre
CHEMBL92958,4,['ACHE'],6.92,Sin nombre
CHEMBL6291,4,['GSK3B'],8.26,BISINDOLYLMALEIMIDE IX
CHEMBL62085,4,['ACHE'],5.09,Sin nombre
CHEMBL61930,4,['ACHE'],6.327500000000001,Sin nombre
CHEMBL61929,4,['ACHE'],5.282500000000001,Sin nombre
CHEMBL91291,4,['ACHE'],8.24,Sin nombre
CHEMBL75680,4,['GSK3B'],6.005000000000001,ALOISINE A
CHEMBL3653702,4,['BACE1'],6.085,Sin nombre
CHEMBL4440849,4,['BACE1'],8.309999999999999,Sin nombre
CHEMBL178737,4,['GSK3B'],8.74,Sin nombre
CHEMBL1782707,4,['ACHE'],6.025,Sin nombre
CHEMBL4470897,4,['BACE1'],8.76,Sin nombre
CHEMBL3653714,4,['BACE1'],6.824999999999999,Sin nombre
CHEMBL2347205,4,['BACE1'],6.8575,Sin nombre
CHEMBL2347204,4,['BACE1'],8.217500000000001,Sin nombre
CHEMBL2331708,4,['BACE1'],8.217500000000001,Sin nombre
CHEMBL439521,4,['BACE1'],8.92,Sin nombre
CHEMBL176308,4,['ACHE'],6.6975,Sin nombre
CHEMBL173018,4,['ACHE'],7.9399999999999995,Sin nombre
CHEMBL430574,4,['GSK3B'],6.955,PAULLONE
CHEMBL2347187,4,['BACE1'],7.7325,Sin nombre
CHEMBL3650810,4,['BACE1'],5.68,Sin nombre
CHEMBL3650846,4,['BACE1'],7.6925,Sin nombre
CHEMBL3650833,4,['BACE1'],6.5425,Sin nombre
CHEMBL3650832,4,['BACE1'],7.57,Sin nombre
CHEMBL3650831,4,['BACE1'],7.2225,Sin nombre
CHEMBL3653341,4,['BACE1'],7.3125,Sin nombre
CHEMBL2347209,4,['BACE1'],7.43,Sin nombre
CHEMBL4483673,4,['BACE1'],8.4025,Sin nombre
CHEMBL4535964,4,['BACE1'],8.68,Sin nombre
CHEMBL456881,4,['ACHE'],4.295,DEOXYVASICINONE
CHEMBL471187,4,"['ACHE', 'BACE1']",4.845,ECKOL
CHEMBL3653512,4,['BACE1'],7.6475,Sin nombre
CHEMBL3653399,4,['BACE1'],7.65,Sin nombre
CHEMBL3656145,4,['BACE1'],7.52,Sin nombre
CHEMBL225567,4,['ACHE'],8.0625,Sin nombre
CHEMBL225198,4,['ACHE'],7.7975,Sin nombre
CHEMBL4173258,4,['ACHE'],6.28,Sin nombre
CHEMBL4205912,4,['BACE1'],7.52,Sin nombre
CHEMBL3656185,4,['BACE1'],6.6175,Sin nombre
CHEMBL3656182,4,['BACE1'],6.1475,Sin nombre
CHEMBL3656260,4,['BACE1'],6.3950000000000005,Sin nombre
CHEMBL3634342,4,['BACE1'],8.1075,Sin nombre
CHEMBL3650809,4,['BACE1'],6.0725,Sin nombre
CHEMBL3650805,4,['BACE1'],5.5649999999999995,Sin nombre
CHEMBL3650804,4,['BACE1'],6.695,Sin nombre
CHEMBL3650802,4,['BACE1'],5.55,Sin nombre
CHEMBL3650801,4,['BACE1'],6.215,Sin nombre
CHEMBL3650800,4,['BACE1'],6.01,Sin nombre
CHEMBL3650816,4,['BACE1'],5.9025,Sin nombre
CHEMBL3650812,4,['BACE1'],5.755,Sin nombre
CHEMBL3650811,4,['BACE1'],5.875,Sin nombre
CHEMBL4160696,4,['ACHE'],6.4275,Sin nombre
CHEMBL3670355,4,['BACE1'],6.86,Sin nombre
CHEMBL3670372,4,['BACE1'],8.15,Sin nombre
CHEMBL3670371,4,['BACE1'],7.297499999999999,Sin nombre
CHEMBL3670368,4,['BACE1'],8.025,Sin nombre
CHEMBL3683792,4,['BACE1'],6.21,Sin nombre
CHEMBL3683791,4,['BACE1'],7.445,Sin nombre
