diana_objetivo,ensembl_id,score_open_targets
ACHE,ENSG00000087085,0.6277
BACE1,ENSG00000186318,0.0
MAPT,ENSG00000186198,0.0
GSK3B,ENSG00000082701,0.0
APOE,ENSG00000130203,0.7815
TREM2,ENSG00000095970,0.0
